#Bins: Q^{2}[1.000-1.000],  x_{Bj}[0.001-0.002]
 89 0.000000 10000
#Bins: Q^{2}[6.000-1.000],  x_{Bj}[0.004-0.004]
 90 0.000000 10000
#Bins: Q^{2}[1.000-2.000],  x_{Bj}[0.004-0.004]
 91 0.000000 10000
#Bins: Q^{2}[2.000-4.000],  x_{Bj}[0.004-0.004]
 92 0.000000 10000
#Bins: Q^{2}[4.000-6.000],  x_{Bj}[0.004-0.004]
 93 0.000000 10000
#Bins: Q^{2}[6.000-8.000],  x_{Bj}[0.004-0.004]
 94 0.000000 10000
#Bins: Q^{2}[8.000-10.000],  x_{Bj}[0.004-0.004]
 95 0.000000 10000
#Bins: Q^{2}[1.000-1.000],  x_{Bj}[0.004-0.006]
 96 0.000000 10000
#Bins: Q^{2}[1.000-2.000],  x_{Bj}[0.004-0.006]
 97 8.000000 10000
#Bins: Q^{2}[2.000-1.000],  x_{Bj}[0.004-0.006]
 98 0.000000 10000
#Bins: Q^{2}[1.000-2.000],  x_{Bj}[0.004-0.006]
 99 8.000000 10000
#Bins: Q^{2}[2.000-3.000],  x_{Bj}[0.004-0.006]
 100 4.000000 10000
#Bins: Q^{2}[3.000-4.000],  x_{Bj}[0.004-0.006]
 101 6.000000 10000
#Bins: Q^{2}[4.000-1.500],  x_{Bj}[0.004-0.006]
 102 0.000000 10000
#Bins: Q^{2}[1.500-3.000],  x_{Bj}[0.004-0.006]
 103 9.000000 10000
#Bins: Q^{2}[3.000-4.500],  x_{Bj}[0.004-0.006]
 104 8.000000 10000
#Bins: Q^{2}[4.500-6.000],  x_{Bj}[0.004-0.006]
 105 6.000000 10000
#Bins: Q^{2}[6.000-1.000],  x_{Bj}[0.004-0.006]
 106 0.000000 10000
#Bins: Q^{2}[1.000-2.000],  x_{Bj}[0.004-0.006]
 107 8.000000 10000
#Bins: Q^{2}[2.000-4.000],  x_{Bj}[0.004-0.006]
 108 10.000000 10000
#Bins: Q^{2}[4.000-6.000],  x_{Bj}[0.004-0.006]
 109 8.000000 10000
#Bins: Q^{2}[6.000-8.000],  x_{Bj}[0.004-0.006]
 110 14.000000 10000
#Bins: Q^{2}[8.000-10.000],  x_{Bj}[0.004-0.006]
 111 7.000000 10000
#Bins: Q^{2}[1.000-1.000],  x_{Bj}[0.006-0.006]
 112 0.000000 10000
#Bins: Q^{2}[1.000-2.000],  x_{Bj}[0.006-0.006]
 113 0.000000 10000
#Bins: Q^{2}[2.000-1.000],  x_{Bj}[0.006-0.006]
 114 0.000000 10000
#Bins: Q^{2}[1.000-2.000],  x_{Bj}[0.006-0.006]
 115 0.000000 10000
#Bins: Q^{2}[2.000-3.000],  x_{Bj}[0.006-0.006]
 116 0.000000 10000
#Bins: Q^{2}[3.000-4.000],  x_{Bj}[0.006-0.006]
 117 0.000000 10000
#Bins: Q^{2}[4.000-1.500],  x_{Bj}[0.006-0.006]
 118 0.000000 10000
#Bins: Q^{2}[1.500-3.000],  x_{Bj}[0.006-0.006]
 119 0.000000 10000
#Bins: Q^{2}[3.000-4.500],  x_{Bj}[0.006-0.006]
 120 0.000000 10000
#Bins: Q^{2}[4.500-6.000],  x_{Bj}[0.006-0.006]
 121 0.000000 10000
#Bins: Q^{2}[6.000-1.000],  x_{Bj}[0.006-0.006]
 122 0.000000 10000
#Bins: Q^{2}[1.000-2.000],  x_{Bj}[0.006-0.006]
 123 0.000000 10000
#Bins: Q^{2}[2.000-4.000],  x_{Bj}[0.006-0.006]
 124 0.000000 10000
#Bins: Q^{2}[4.000-6.000],  x_{Bj}[0.006-0.006]
 125 0.000000 10000
#Bins: Q^{2}[6.000-8.000],  x_{Bj}[0.006-0.006]
 126 0.000000 10000
#Bins: Q^{2}[8.000-10.000],  x_{Bj}[0.006-0.006]
 127 0.000000 10000
#Bins: Q^{2}[1.000-1.000],  x_{Bj}[0.006-0.006]
 128 0.000000 10000
#Bins: Q^{2}[1.000-2.000],  x_{Bj}[0.006-0.006]
 129 0.000000 10000
#Bins: Q^{2}[2.000-1.000],  x_{Bj}[0.006-0.006]
 130 0.000000 10000
#Bins: Q^{2}[1.000-2.000],  x_{Bj}[0.006-0.006]
 131 0.000000 10000
#Bins: Q^{2}[2.000-3.000],  x_{Bj}[0.006-0.006]
 132 0.000000 10000
#Bins: Q^{2}[3.000-4.000],  x_{Bj}[0.006-0.006]
 133 0.000000 10000
#Bins: Q^{2}[4.000-1.500],  x_{Bj}[0.006-0.006]
 134 0.000000 10000
#Bins: Q^{2}[1.500-3.000],  x_{Bj}[0.006-0.006]
 135 0.000000 10000
#Bins: Q^{2}[3.000-4.500],  x_{Bj}[0.006-0.006]
 136 0.000000 10000
#Bins: Q^{2}[4.500-6.000],  x_{Bj}[0.006-0.006]
 137 0.000000 10000
#Bins: Q^{2}[6.000-1.000],  x_{Bj}[0.006-0.006]
 138 0.000000 10000
#Bins: Q^{2}[1.000-2.000],  x_{Bj}[0.006-0.006]
 139 0.000000 10000
